Procedure,Statement,producer statement,consumer statement,cost,result size,Fragment
5,25,{},"{29 ,30 ,32}",0.061239,99090,"{88,95,96,97,101,102,103,87}"
5,26,{},"{29 ,30 ,32}",0.045698,73049,"{30,24}"
5,27,{},{29},0.047481,2880404,"{18,17,15,16,1,4}"
5,28,{},{30},0.064059,1441548,"{150,149,147,148,125,128}"
5,29,"{25,26,27}",{33},0.174254,188834,{}
5,30,"{25,26,28}",{33},0.169058,135789,{}
5,31,{},{32},0.06373,719384,"{186,211,210,208,209,190}"
5,32,"{25,26,31}",{33},0.171958,56139,{}
5,33,"{29,30,32}",{34},0.252135,380762,{}
5,34,{33},{35},6.432294,555294969,{}
5,35,{34},{},6.84,1,{}
